passage,predicted_words,ground_truth,precision,recall,f1,raw_output
""" agnus dei "" ( lamb of god ) is sung by the alto with obbligato violins in unison . the source for the aria is possibly the aria "" entfernet euch , ihr kalten hertzen "" ( leave , you cold hearts ) , the third movement of the lost wedding cantata auf , süß entzückende gewalt , bwv anh 196 . it was the basis also for the fourth movement of the ascension oratorio , lobet gott in seinen reichen , bwv 11 , the aria ach , bleibe doch , mein liebstes leben .","{'elevation.', 'ascension', 'altos', 'cantata', 'hymn', 'agnus dei'}","{'lobet', 'liebstes', 'alto', 'ach', 'cantata', 'bwv', 'reichen', 'agnus dei', 'gewalt', 'obbligato', 'aria', 'unison', 'ascension', 'oratorio'}",0.6666666666666666,0.2857142857142857,0.4,"ascension — the act of rising to a higher position or level; elevation.
agnus dei — Latin phrase meaning 'lamb of God'; a hymn or prayer invoking Jesus Christ's mercy and compassion.
altos — female singers who have lower voices than sopranos but higher than contraltos.
cantata — a musical composition typically consisting of several movements, usually for solo voice(s) and instrumental accompaniment.
hymn — a religious song expressing praise or devotion to God."
""" andy 's ancestry "" is the third episode of the ninth season of the american comedy television series the office . the episode originally aired on nbc on october 4 , 2012 . the episode was written by jonathan green and gabe miller , and was directed by david rogers . the episode guest stars randall park as jim and pam 's actor friend , steve .",{'original air date'},"{'episode', 'originally', 'aired', 'guest stars', 'comedy', 'office', 'linage', 'actor', 'ancestry', 'friend', 'steve', 'television series', 'directed', 'actor friend'}",0.0,0.0,0.0,original air date — the first time an episode or program was broadcast to the public.
""" borderline "" is a sentimental track , talking about a love that is never quite fulfilled . according to author santiago fouz @-@ hernández and his book madonna 's drowned worlds , the lyrics of the song like "" something in the way you love me won 't let me be / i don 't want to be your prisoner so baby won 't you set me free "" depicted a rebellion against male chauvinism . madonna used a refined and expressive voice to sing the song , backed by lucas 's instrumentations . it opens with a keyboard rich intro and a catchy synth melody provided by fred zarr . bass player anthony jackson doubled dean gant 's synth bass to provide a solid & more complex texture .","{'vocalist', 'textures', 'instrumentation', 'instrumental', 'synthesizer'}","{'sentimental', 'fulfilled', 'refined', 'texture', 'synth', 'intro', 'chauvinism', 'borderline', 'instrumentations', 'doubled'}",0.4,0.2,0.26666666666666666,"instrumental — relating to or using instruments rather than voices for musical expression; not sung but played on an instrument.
synthesizer — electronic musical instrument capable of generating sounds from digital signals, typically producing music without human performers.
textures — the feel or appearance of a surface or material.
vocalist — a person who sings songs or performs vocals.
instrumentation — the use of instruments in music or other artistic works."
""" bosnian serb leader parlays with carter , promises peace moves "" . deutsche presse @-@ agentur . december 15 , 1994 .","{'divisions', 'district', 'delegates', 'parliamentary', 'conference'}","{'parlays', 'moves', 'peace', '1994', 'parleys', '@-@', 'presse', 'serb', 'deutsche', 'december', 'agentur'}",0.0,0.0,0.0,"parliamentary — relating to a legislative body or government by representatives elected from districts or political parties.
delegates — people who are chosen to represent others, especially at meetings or conferences.
district — an area defined for administrative purposes; a division of a country or city.
conference — a meeting where important decisions are made about something, typically involving many different organizations or groups.
divisions — a group within a larger organization that is responsible for specific tasks or functions."
""" boy ( i need you ) "" [ topnotch tox mix ]","{'topnotch', 'first-rate or best-quality'}","{'topnotch', 'need', 'boy', 'tox', 'mix'}",0.5,0.2,0.28571428571428575,topnotch — of high quality or excellence; superior or outstanding; first-rate or best-quality — used as an adjective to describe something or someone that is very good or excellent.
""" cabin fever "" was viewed live or recorded and watched within five hours of broadcast by 10 @. @ 78 million american viewers . it attained a 4 @. @ 7 / 13 in the key adults 18 @-@ 49 demographic , ranking lost as the nineteenth most watched program of the week , two places up from the previous episode , "" something nice back home "" . "" cabin fever "" was watched by 392 @,@ 000 australian viewers , making lost the thirty @-@ third most watched program of the night .","{'glasses', 'viewer', 'income', 'education', 'etc.', 'density', 'cabinet', 'lost', 'demographics', 'attained', 'distribution', 'demographic'}","{'broadcast', 'cabin fever', 'episode', 'thirty-third', 'program', 'recorded', 'viewers', 'watched', 'ranking', 'attained', 'demographic'}",0.2727272727272727,0.2727272727272727,0.2727272727272727,"attained — achieved; reached a particular level or standard.
cabinet — a piece of furniture for holding dishes, glasses, etc., typically consisting of shelves and drawers behind doors that can be closed when not in use?
demographics — characteristics such as age, income, education, etc., used to identify and classify people who have similar social or economic statuses.
demographic — relating to the study of populations in terms of their size, density, distribution, and structure.
lost — television show.
viewer —"
""" can 't hold us down "" lyrically discusses feminism ; the song criticizes the "" common "" gender @-@ related double standards , in which men are applauded for their sexual behaviors , while women who behave in a similar fashion are disdained . in the book therapeutic uses of rap and hip @-@ hop , susan hadley and george yancy discuss that "" can 't hold us down "" is a hip hop song that "" encourages young women to be proud , strong , and empowered to be all that they can be "" . at the song 's first verse , aguilera sings "" call me a bitch ' cause i speak what 's on my mind / guess it 's easier for you to swallow if i sat and smiled "" ; she later rejects that all women "" should be seen , not heard "" and encourages them to "" shout louder "" during the chorus . aguilera comments on the double standard with the lyrics "" the guy gets all the glory the more he can score / while the girl can do the same and yet you call her a whore "" . lil ' kim shares a similar sentiment during her verse in the bridge , questioning why a man is able to give a woman "" some sex or sex her raw "" while "" if the girl do the same and then she 's a whore "" .","{'feminism', 'empowered', 'whore', 'bitches'}","{'empowered', 'verse', 'therapeutic', 'hip-hop', 'applauded', 'sentiment', 'disdained', 'criticizes', 'feminism', 'glory', 'bridge', 'double standards', 'whore'}",0.75,0.23076923076923078,0.3529411764705882,"bitches — derogatory term for a female dog or a rude, unpleasant person, especially a woman.
bitches — informal slang for a promiscuous or immoral woman.
empowered — having the authority or power to choose and to undergo actions or make decisions without necessarily consulting higher authorities.
feminism — advocacy for women's rights based on the principle of equality between the sexes.
whore — a prostitute; a promiscuous woman.
empowered — having control"
""" dance in the dark "" is a song by american recording artist lady gaga , from her third ep , the fame monster . inspired by gaga 's "" fear of self monster "" , the song deals with the intimate experience between two people alone in a bedroom . according to gaga , the record is about a girl who likes to have sex with the lights off because she is embarrassed about her body . she explained that she came across such women while working on the mac aids fund , and that the song is not about freedom , but rather the assurance that gaga understood their feelings . the song was initially planned to be released after "" telephone "" , but due to a dispute between gaga and her record company , "" alejandro "" was released instead .",{'intimate'},"{'released', 'ep', 'assurance', 'intimate', 'dispute', 'embarrassed', 'mac aids fund', 'telephone', 'recording artist', 'monster'}",1.0,0.1,0.18181818181818182,"intimate — characterized by close personal knowledge or friendship; private or confidential information shared only among trusted individuals.
Citation: Lady Gaga's ""Dance in the Dark"" lyrics - Genius Lyrics (genius.com)"
""" everytime "" is a song by american recording artist britney spears , taken from her fourth studio album , in the zone ( 2003 ) . it was released on may 10 , 2004 by jive records as the third single from the album . after her relationship with american singer justin timberlake ended in 2002 , she made friends with her backing vocalist annet artani . they started writing songs together at spears 's house in los angeles , and then traveled to lombardy , italy , where "" everytime "" was written . spears composed the music and she developed the lyrics with artani .","{'in the zone', 'composing', 'jive records', 'lombardy', 'backing vocalists', 'r&b'}","{'vocalist', 'studio album', 'commercial release', 'backing vocalist', 'composed', 'lombardy', 'recording artist', 'relationship', 'developed', 'lyrics'}",0.16666666666666666,0.1,0.125,"backing vocalists — singers who provide background vocals for a lead performer or group.
composing — creating original musical pieces of work.
lombardy — region in northern Italy known for its rich history and culture.
jive Records — American record label specializing in hip hop, R&B, and pop music.
in the zone — having complete control over one's abilities and performance."
""" fancy footwork "" ( 0 : 40 )",{'footwork'},"{'footwork', 'fancy'}",1.0,0.5,0.6666666666666666,"footwork — skillful use of one's feet, especially in dance or sports."
